Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel,Parallel Error
2,4980.050000,48678.646332,33247.970000,327209.409649,345755.000000,3261013.672381
4,146.860000,119.512589,262.850000,125.914768,22151.440000,18592.311156
8,345.780000,83.417322,483.650000,143.828651,55680.030000,332731.635459
16,1020.460000,177.656395,1211.980000,339.737803,23063.990000,20319.095967
32,3931.990000,1400.189538,3495.390000,808.646703,42863.340000,38608.259169
64,16112.930000,4503.584650,12720.510000,4868.083317,71200.630000,35966.080167
128,65271.140000,14550.352178,51372.600000,15095.896724,151438.000000,266387.768310
256,289332.180000,38646.995071,246587.130000,106161.741676,381301.700000,354112.950453
512,1447369.240000,40687.874785,1208710.370000,22305.503059,1162148.710000,489565.806674
1024,5221788.630000,326609.603928,4509473.550000,140431.577784,3335468.910000,618144.973194
2048,19380872.510000,267214.222979,16549254.820000,824257.266065,11452189.150000,1801267.317336
4096,76265516.590000,1123584.557639,64302761.360000,1902746.366368,42298766.030000,3577033.416126
